District Number,District Name,District,Address,City,State,Zip,Full Address,Coordinates,Longitude,Latitude
0,Tennessee Department of Education,State of Tennessee,710 James Robertson Parkway,Nashville,TN,37243,"710 James Robertson Pkwy, Nashville, TN, 37203","-86.786896,36.167858",-86.786896,36.167858
10,Anderson County Schools,Anderson County,101 South Main,Clinton,TN,37716,"101 South Main, Clinton, TN, 37716","-84.133766,36.09968",-84.133766,36.09968
11,Clinton City School District,Clinton City,212 N Hicks St,Clinton,TN,37716,"212 N Hicks St, Clinton, TN, 37716","-84.13401,36.102177",-84.13401,36.102177
12,Oak Ridge City Schools,Oak Ridge City,304 New York Avenue,Oak Ridge,TN,37830,"304 New York Avenue, Oak Ridge, TN, 37830","-84.25105,36.025097",-84.25105,36.025097
20,Bedford County Schools,Bedford County,500 Madison St,Shelbyville,TN,37160,"500 Madison St, Shelbyville, TN, 37160","-86.45465,35.48845",-86.45465,35.48845
30,Benton School System,Benton County,197 Briarwood St,Camden,TN,38320,"197 Briarwood St, Camden, TN, 38320","-88.11208,36.072517",-88.11208,36.072517
40,Bledsoe County Schools,Bledsoe County,478 Spring Street,Pikeville,TN,37367,"478 Spring Street, Pikeville, TN, 37367","-85.189072,35.606366",-85.189072,35.606366
50,Blount County Schools,Blount County,831 Grandview Dr,Maryville,TN,37803,"831 Grandview Dr, Maryville, TN, 37803","-83.93633,35.750675",-83.93633,35.750675
51,Alcoa City Schools,Alcoa City,524 Faraday St,Alcoa,TN,37701,"524 Faraday St, Alcoa, TN, 37701","-83.98088,35.792606",-83.98088,35.792606
52,Maryville City Schools,Maryville City,833 Lawrence Av,Maryville,TN,37803,"833 Lawrence Av, Maryville, TN, 37803","-83.97798,35.74736",-83.97798,35.74736
60,Bradley County Schools,Bradley County,800 South Lee Hw,Cleveland,TN,37311,"800 South Lee Hw, Cleveland, TN, 37311","-84.89044,35.15547",-84.89044,35.15547
61,Cleveland City Schools,Cleveland City,4300 Mouse Creek Nw Rd,Cleveland,TN,37312,"4300 Mouse Creek Nw Rd, Cleveland, TN, 37312","-84.857701,35.208714",-84.857701,35.208714
70,Campbell County Schools,Campbell County,172 Valley St,Jacksboro,TN,37757,"172 Valley St, Jacksboro, TN, 37757","-84.181973,36.331859",-84.181973,36.331859
80,Cannon County School District,Cannon County,301 West Main St,Woodbury,TN,37190,"301 West Main St, Woodbury, TN, 37190","-86.071365,35.827736",-86.071365,35.827736
92,Hollow Rock-Bruceton Special School District,Hollow Rock - Bruceton,29590 Broad St,Bruceton,TN,38317,"29590 Broad St, Bruceton, TN, 38317","-88.261875,36.032508",-88.261875,36.032508
93,Huntingdon Special School District,Huntingdon SSD,585 High St,Huntingdon,TN,38344,"585 High St, Huntingdon, TN, 38344","-88.41106,36.01711",-88.41106,36.01711
94,McKenzie Special School District,McKenzie SSD,114 W Bell Ave,McKenzie,TN,38201,"114 W Bell Ave, McKenzie, TN, 38201","-88.52184,36.14135",-88.52184,36.14135
95,South Carroll County Special School District,South Carroll SSD,145 Clarksburg Rd,Clarksburg,TN,38324,"145 Clarksburg Rd, Clarksburg, TN, 38324","-88.389577,35.872069",-88.389577,35.872069
97,West Carroll Special School District,West Carroll SSD,1415 Hwy 77,Atwood,TN,38220,"1415 Hwy 77, Atwood, TN, 38220","-88.623936,35.974939",-88.623936,35.974939
100,Carter County Schools,Carter County,305 Academy St,Elizabethton,TN,37673,"305 Academy St, Elizabethton, TN, 37673","-82.21235,36.35063",-82.21235,36.35063
101,Elizabethton City Schools,Elizabethton City,804 S Watauga Ave,Elizabethton,TN,37643,"804 S Watauga Ave, Elizabethton, TN, 37643","-82.22189,36.337772",-82.22189,36.337772
110,Cheatham County School District,Cheatham County,102 Elizabeth St,Ashland City,TN,37015,"102 Elizabeth St, Ashland City, TN, 37015","-87.062515,36.272064",-87.062515,36.272064
120,Chester County School System,Chester County,970 E Main Street,Henderson,TN,38340,"970 E Main Street, Henderson, TN, 38340","-88.62025,35.444355",-88.62025,35.444355
130,Claiborne County Schools,Claiborne County,1403 Tazewell Road,Tazewell,TN,37879,"1403 Tazewell Road, Tazewell, TN, 37879","-83.57952,36.449436",-83.57952,36.449436
140,Clay County Schools,Clay County,520 Brown Street,Celina,TN,38551,"520 Brown Street, Celina, TN, 38551","-85.50549,36.547153",-85.50549,36.547153
150,Cocke County School System,Cocke County,305 Hedrick Dr,Newport,TN,37821,"305 Hedrick Dr, Newport, TN, 37821","-83.1956,35.965588",-83.1956,35.965588
151,Newport City School,Newport City,301 College St,Newport,TN,37821,"301 College St, Newport, TN, 37821","-83.186485,35.96412",-83.186485,35.96412
160,Coffee County Schools,Coffee County,1343 McArthur St,Manchester,TN,37355,"1343 McArthur St, Manchester, TN, 37355","-86.08915,35.461834",-86.08915,35.461834
161,Manchester City Schools,Manchester City,215 East Fort St,Manchester,TN,37355,"215 East Fort St, Manchester, TN, 37355","-86.086395,35.483486",-86.086395,35.483486
162,Tullahoma City Schools,Tullahoma City,510 S Jackson St,Tullahoma,TN,37388,"510 S Jackson St, Tullahoma, TN, 37388","-86.20756,35.3574",-86.20756,35.3574
170,Crockett County Schools,Crockett County,102 North Cavalier Dr,Alamo,TN,38001,"102 North Cavalier Dr, Alamo, TN, 38001","-89.143125,35.793232",-89.143125,35.793232
171,Alamo City School District,Alamo City,264 E. Park St,Alamo,TN,38001,"264 E. Park St, Alamo, TN, 38001","-89.11256,35.78347",-89.11256,35.78347
172,Bells City School District,Bells City,4532 Hwy 88 South,Bells,TN,38006,"4532 Hwy 88 South, Bells, TN, 38006","-89.090798,35.723835",-89.090798,35.723835
180,Cumberland County Schools,Cumberland County,368 4th St,Crossville,TN,38555,"368 4th St, Crossville, TN, 38555","-85.03241,35.94618",-85.03241,35.94618
190,Metro Nashville Public Schools,Davidson County,2601 Bransford Ave,Nashville,TN,37204,"2601 Bransford Ave, Nashville, TN, 37204","-86.76556,36.121685",-86.76556,36.121685
200,Decatur County Schools,Decatur County,59 West Main Street,Decaturville,TN,38329,"59 West Main Street, Decaturville, TN, 38329","-88.118286,35.584023",-88.118286,35.584023
210,DeKalb County School District,DeKalb County,110 South Public Square,Smithville,TN,37166,"110 South Public Square, Smithville, TN, 37166","-85.813446,35.96068",-85.813446,35.96068
220,Dickson County School District,Dickson County,817 N Charlotte St,Dickson,TN,37055,"817 N Charlotte St, Dickson, TN, 37055","-87.38053,36.086807",-87.38053,36.086807
230,Dyer County Schools,Dyer County,159 Everett Ave,Dyersburg,TN,38024,"159 Everett Ave, Dyersburg, TN, 38024","-89.3609,36.028957",-89.3609,36.028957
231,Dyersburg City Schools,Dyersburg City,509 Lake Road,Dyersburg,TN,38024,"509 Lake Road, Dyersburg, TN, 38024","-89.39325,36.03735",-89.39325,36.03735
240,Fayette County Schools,Fayette County,126 West Market Street,Somerville,TN,38068,"126 West Market Street, Somerville, TN, 38068","-89.35072,35.244343",-89.35072,35.244343
250,Fentress County Schools,Fentress County,1101 Old Highway 127 S,Crossville,TN,38555,"1101 Old Highway 127 S, Crossville, TN, 38555","-85.034659,35.977624",-85.034659,35.977624
260,Franklin County Schools,Franklin County,215 South College St,Winchester,TN,37398,"215 South College St, Winchester, TN, 37398","-86.11044,35.18531",-86.11044,35.18531
271,Humboldt City Schools,Humboldt City,2602 Viking Dr,Humboldt,TN,38343,"2602 Viking Dr, Humboldt, TN, 38343","-88.90799,35.841667",-88.90799,35.841667
272,Milan Special School District,Milan SSD,1165 South Main St,Milan,TN,38358,"1165 South Main St, Milan, TN, 38358","-88.7594,35.92023",-88.7594,35.92023
273,Trenton Special School District,Trenton SSD,201 W 10th St,Trenton,TN,38382,"201 W 10th St, Trenton, TN, 38382","-88.943825,35.9683",-88.943825,35.9683
274,Bradford Special School District,Bradford SSD,106 W Front Street,Bradford,TN,38316,"106 W Front Street, Bradford, TN, 38316","-88.81055,36.075478",-88.81055,36.075478
275,Gibson County Special School District,Gibson County SSD,130 Trenton Hwy,Trenton,TN,38382,"130 Trenton Hwy, Trenton, TN, 38382","-88.966675,36.029022",-88.966675,36.029022
280,Giles County Schools,Giles County,270 Richland Dr,Pulaski,TN,38478,"270 Richland Dr, Pulaski, TN, 38478","-87.039406,35.20089",-87.039406,35.20089
290,Grainger County Schools,Grainger County,7850 Rutledge Pike,Rutledge,TN,37861,"7850 Rutledge Pike, Rutledge, TN, 37861","-83.51983,36.280045",-83.51983,36.280045
300,Greene County Schools,Greene County,910 Summer St,Greeneville,TN,37743,"910 Summer St, Greeneville, TN, 37743","-82.847336,36.16713",-82.847336,36.16713
301,Greeneville City Schools,Greeneville City,129 West Depot Street,Greeneville,TN,37743,"129 West Depot Street, Greeneville, TN, 37743","-82.83153,36.16344",-82.83153,36.16344
310,Grundy County Schools,Grundy County,1376 Main Street,Altamont,TN,37301,"1376 Main Street, Altamont, TN, 37301","-85.72237,35.427277",-85.72237,35.427277
320,Hamblen County Schools,Hamblen County,210 East Morris Bl,Morristown,TN,37813,"210 East Morris Bl, Morristown, TN, 37813","-83.28989,36.2127",-83.28989,36.2127
330,Hamilton County Schools,Hamilton County,3074 Hickory Valley Rd,Chattanooga,TN,37421,"3074 Hickory Valley Rd, Chattanooga, TN, 37421","-85.15909,35.10385",-85.15909,35.10385
340,Hancock County Schools,Hancock County,418 Harrison Street,Sneedville,TN,37869,"418 Harrison Street, Sneedville, TN, 37869","-83.21564,36.52389",-83.21564,36.52389
350,Hardeman County Schools,Hardeman County,10815 Old Hwy. 64,Bolivar,TN,38008,"10815 Old Hwy. 64, Bolivar, TN, 38008","-89.028945,35.278490",-89.028945,35.27849
360,Hardin County Schools,Hardin County,155 Guinn St,Savannah,TN,38372,"155 Guinn St, Savannah, TN, 38372","-88.248323,35.225594",-88.248323,35.225594
370,Hawkins County Schools,Hawkins County,200 N Depot St,Rogersville,TN,37857,"200 N Depot St, Rogersville, TN, 37857","-83.00718,36.40802",-83.00718,36.40802
371,Rogersville City School,Rogersville City,116 Broadway,Rogersville,TN,37857,"116 Broadway, Rogersville, TN, 37857","-83.005283,36.402637",-83.005283,36.402637
380,Haywood County Schools,Haywood County,900 East Main St,Brownsville,TN,38012,"900 East Main St, Brownsville, TN, 38012","-89.25231,35.59356",-89.25231,35.59356
390,Henderson County Schools,Henderson County,35 East Wilson St,Lexington,TN,38351,"35 East Wilson St, Lexington, TN, 38351","-88.39299,35.65167",-88.39299,35.65167
391,Lexington City Schools,Lexington City,99 Monroe Av,Lexington,TN,38351,"99 Monroe Av, Lexington, TN, 38351","-88.39521,35.648277",-88.39521,35.648277
400,Henry County School System,Henry County,217 Grove Bl,Paris,TN,38242,"217 Grove Bl, Paris, TN, 38242","-88.32709,36.292828",-88.32709,36.292828
401,Paris Special School District,Paris SSD,1219 Hwy 641 S,Paris,TN,38242,"1219 Hwy 641 S, Paris, TN, 38242","-88.293893,36.282113",-88.293893,36.282113
410,Hickman County Schools,Hickman County,115 Murphree Av,Centerville,TN,37033,"115 Murphree Av, Centerville, TN, 37033","-87.46388,35.778862",-87.46388,35.778862
420,Houston County Schools,Houston County,6460 highway 13,Erin,TN,37061,"6460 Highway 13, Erin, TN, 37061","-87.674760,36.313288",-87.67476,36.313288
430,Humphreys County School System,Humphreys County,2443 Hwy 70 E,Waverly,TN,37185,"2443 Hwy 70 E, Waverly, TN, 37185","-87.75159,36.086304",-87.75159,36.086304
440,Jackson County Schools,Jackson County,711 School Dr,Gainesboro,TN,38562,"711 School Dr, Gainesboro, TN, 38562","-85.65766,36.349",-85.65766,36.349
450,Jefferson County Schools,Jefferson County,1221 Gay Street,Dandridge,TN,37725,"1221 Gay Street, Dandridge, TN, 37725","-83.415298,36.015667",-83.415298,36.015667
460,Johnson County Schools,Johnson County,211 N Church St,Mountain City,TN,37683,"211 N Church St, Mountain City, TN, 37683","-81.8035,36.476048",-81.8035,36.476048
470,Knox County Schools,Knox County,912 South Gay Street,Knoxville,TN,37902,"912 South Gay Street, Knoxville, TN, 37902","-83.91612,35.961636",-83.91612,35.961636
480,Lake County School System,Lake County,819 McBride Street,Tiptonville,TN,38079,"819 McBride Street, Tiptonville, TN, 38079","-89.47472,36.38186",-89.47472,36.38186
490,Lauderdale County Schools,Lauderdale County,321 Armory Avenue,Ripley,TN,38063,"321 Armory Avenue, Ripley, TN, 38063","-89.540210,35.732836",-89.54021,35.732836
500,Lawrence County Schools,Lawrence County,700 Mahr Av,Lawrenceburg,TN,38464,"700 Mahr Av, Lawrenceburg, TN, 38464","-87.33445,35.249493",-87.33445,35.249493
510,Lewis County Schools,Lewis County,206  S Court St,Hohenwald,TN,38462,"206  S Court St, Hohenwald, TN, 38462","-87.55403,35.545223",-87.55403,35.545223
520,Lincoln County Department of Education,Lincoln County,206 E Davidson Dr,Fayetteville,TN,37334,"206 E Davidson Dr, Fayetteville, TN, 37334","-86.570862,35.142696",-86.570862,35.142696
521,Fayetteville City Schools,Fayetteville City,110A South Elk Av,Fayetteville,TN,37334,"110A South Elk Av, Fayetteville, TN, 37334","-86.568417,35.151180",-86.568417,35.15118
530,Loudon County Schools,Loudon County,100 River Rd,Loudon,TN,37774,"100 River Rd, Loudon, TN, 37774","-84.400085,35.73512",-84.400085,35.73512
531,Lenoir City Schools,Lenoir City,2145 Harrison Av,Lenoir City,TN,37771,"2145 Harrison Av, Lenoir City, TN, 37771","-84.28338,35.81059",-84.28338,35.81059
540,McMinn County Schools,McMinn County,216 N Jackson,Athens,TN,37303,"216 N Jackson, Athens, TN, 37303","-84.59417,35.444763",-84.59417,35.444763
541,Athens City Schools,Athens City,943 Crestway Dr,Athens,TN,37303,"943 Crestway Dr, Athens, TN, 37303","-84.60514,35.43339",-84.60514,35.43339
542,Etowah City School,Etowah City,858 8th St,Etowah,TN,37331,"858 8th St, Etowah, TN, 37331","-84.53608,35.326595",-84.53608,35.326595
550,McNairy County Schools,McNairy County,170 West Court Avenue,Selmer,TN,38375,"170 West Court Avenue, Selmer, TN, 38375","-88.594185,35.171505",-88.594185,35.171505
560,Macon County Schools,Macon County,501 College St,Lafayette,TN,37083,"501 College St, Lafayette, TN, 37083","-86.03265,36.519928",-86.03265,36.519928
570,Jackson-Madison County Schools,Jackson-Madison County,310 North Pw,Jackson,TN,38305,"310 North Pw, Jackson, TN, 38305","-88.85415,35.64585",-88.85415,35.64585
580,Marion County Schools,Marion County,204 Betsy Pack Dr,Jasper,TN,37347,"204 Betsy Pack Dr, Jasper, TN, 37347","-85.624916,35.075976",-85.624916,35.075976
581,Richard Hardy Memorial School,Richard City,1620 Hamilton Av,South Pittsburg,TN,37380,"1620 Hamilton Av, South Pittsburg, TN, 37380","-85.72145,34.99507",-85.72145,34.99507
590,Marshall County Schools,Marshall County,700 Jones Cr,Lewisburg,TN,37091,"700 Jones Cr, Lewisburg, TN, 37091","-86.783000,35.457415",-86.783,35.457415
600,Maury County Schools,Maury County,501 West 8th St,Columbia,TN,38401,"501 West 8th St, Columbia, TN, 38401","-87.04217,35.614216",-87.04217,35.614216
610,Meigs County School System,Meigs County,345 North Main Street,Decatur,TN,37322,"345 North Main Street, Decatur, TN, 37322","-84.78931,35.516834",-84.78931,35.516834
620,Monroe County Schools,Monroe County,205 Oak Grove Rd,Madisonville,TN,37354,"205 Oak Grove Rd, Madisonville, TN, 37354","-84.35996,35.5337",-84.35996,35.5337
621,Sweetwater City Schools,Sweetwater City,203 Monroe Street,Sweetwater,TN,37874,"203 Monroe Street, Sweetwater, TN, 37874","-84.46424,35.599434",-84.46424,35.599434
630,Clarksville-Montgomery County School System,Montgomery County,621 Gracey Av,Clarksville,TN,37040,"621 Gracey Av, Clarksville, TN, 37040","-87.3456,36.520878",-87.3456,36.520878
640,Moore County Schools,Moore County,241 Main Street,Lynchburg,TN,37352,"241 Main Street, Lynchburg, TN, 37352","-86.37416,35.282063",-86.37416,35.282063
650,Morgan County Schools,Morgan County,136 Flat Fork Rd,Wartburg,TN,37887,"136 Flat Fork Rd, Wartburg, TN, 37887","-84.552178,36.099948",-84.552178,36.099948
660,Obion County Schools,Obion County,1700 N. 5th St.,Union City,TN,38261,"1700 N. 5th St., Union City, TN, 38261","-89.057112,36.442149",-89.057112,36.442149
661,Union City Schools,Union City,408 South Depot Street,Union City,TN,38261,"408 South Depot Street, Union City, TN, 38261","-89.05689,36.422302",-89.05689,36.422302
670,Overton County Schools,Overton County,302 Zachary St,Livingston,TN,38570,"302 Zachary St, Livingston, TN, 38570","-85.32061,36.38823",-85.32061,36.38823
680,Perry County Schools,Perry County,857 Squirrel Hollow Dr,Linden,TN,37096,"857 Squirrel Hollow Dr, Linden, TN, 37096","-87.85966,35.59314",-87.85966,35.59314
690,Pickett County Schools,Pickett County,141 Skyline Dr,Byrdstown,TN,38549,"141 Skyline Dr, Byrdstown, TN, 38549","-85.134125,36.57747",-85.134125,36.57747
700,Polk County Schools,Polk County,131 Stephens Street,Benton,TN,37307,"131 Stephens Street, Benton, TN, 37307","-84.65436,35.17744",-84.65436,35.17744
710,Putnam County School System,Putnam County,1400 East Spring St,Cookeville,TN,38506,"1400 East Spring St, Cookeville, TN, 38506","-85.472046,36.151154",-85.472046,36.151154
720,Rhea County Schools,Rhea County,305 California Av,Dayton,TN,37321,"305 California Av, Dayton, TN, 37321","-85.021924,35.489727",-85.021924,35.489727
721,Dayton City School,Dayton City,520 Cherry St,Dayton,TN,37321,"520 Cherry St, Dayton, TN, 37321","-85.016207,35.487150",-85.016207,35.48715
730,Roane County Schools,Roane County,105 Bluff Rd,Kingston,TN,37763,"105 Bluff Rd, Kingston, TN, 37763","-84.5294,35.889847",-84.5294,35.889847
740,Robertson County Schools,Robertson County,2121 Woodland St,Springfield,TN,37172,"2121 Woodland St, Springfield, TN, 37172","-86.88478,36.49293",-86.88478,36.49293
750,Rutherford County Schools,Rutherford County,2240 Southpark Bl,Murfreesboro,TN,37128,"2240 Southpark Bl, Murfreesboro, TN, 37128","-86.401085,35.81491",-86.401085,35.81491
751,Murfreesboro City Schools,Murfreesboro City,2552 South Church St,Murfreesboro,TN,37127,"2552 South Church St, Murfreesboro, TN, 37127","-86.39831,35.801617",-86.39831,35.801617
760,Scott County Schools,Scott County,208 Court Street,Huntsville,TN,37756,"208 Court Street, Huntsville, TN, 37756","-84.49044,36.409916",-84.49044,36.409916
761,Oneida Special School District,Oneida SSD,195 North Bank Street,Oneida,TN,37841,"195 North Bank Street, Oneida, TN, 37841","-84.51135,36.49941",-84.51135,36.49941
770,Sequatchie County Schools,Sequatchie County,878 Cordell Drive,Dunlap,TN,37327,"878 Cordell Drive, Dunlap, TN, 37327","-85.40873,35.359123",-85.40873,35.359123
780,Sevier County School System,Sevier County,226 Cedar St,Sevierville,TN,37862,"226 Cedar St, Sevierville, TN, 37862","-83.562294,35.86553",-83.562294,35.86553
792,Shelby County Schools,Shelby County,160 S Hollywood,Memphis,TN,38112,"160 S Hollywood, Memphis, TN, 38112","-89.977234,35.132084",-89.977234,35.132084
